task_name,thinking_fraction
"mix ingredients, such as liquor, soda, water, sugar, and bitters, to prepare cocktails and other drinks.",
model transportation scenarios to evaluate the impacts of activities such as new development or to identify possible solutions to transportation problems.,
modify and customize commercial programs for internal needs.,
"modify and refine designs, using working models, to conform with customer specifications, production limitations, or changes in design trends.",
"modify computer security files to incorporate new software, correct errors, or change individual access status.",
modify computer-controlled robot movements.,
modify existing databases and database management systems or direct programmers and analysts to make changes.,0.046212647
modify existing programs to enhance efficiency.,0.078004874
"modify existing software to correct errors, allow it to adapt to new hardware, or to improve its performance.",0.07921779
"modify existing software to correct errors, to adapt it to new hardware, or to upgrade interfaces and improve performance.",0.080087714
"modify or control biological systems to replace, augment, or sustain chemical or mechanical processes.",
modify patient treatment plans as indicated by patients' responses and conditions.,
modify treatment plans according to changes in client status.,
modify treatment plans to comply with changes in client status.,
modify treatment plans to comply with changes in clients' status.,
"modify, maintain, and repair electronics equipment and systems to ensure that they function properly.",0.03757829
"modify, update, and process existing policies and claims to reflect any change in beneficiary, amount of coverage, or type of insurance.",
monitor and analyze energy consumption.,
"monitor and analyze network performance and data input/output reports to detect problems, identify inefficient use of computer resources, or perform capacity planning.",
monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,
"monitor and analyze sales records, trends, or economic conditions to anticipate consumer buying patterns and determine what the company will sell and how much inventory is needed.",
monitor and control temperature of products.,
"monitor and ensure a sound, ethical environment.",
monitor and follow applicable laws and regulations.,
"monitor and observe experiments, recording production and test data for evaluation by research personnel.",
monitor bug resolution efforts and track successes.,
"monitor changes affecting supply and demand, tracking market conditions, price trends, or futures markets.",
monitor competitors' sales activities by following their advertisements in newspapers or other media.,
monitor current reports of computer viruses to determine when to update virus protection systems.,
"monitor database performance and perform any necessary maintenance, upgrades, or repairs.",0.058192957
monitor environments to ensure maintenance of optimum conditions for aquatic life.,
"monitor event activities to ensure compliance with applicable regulations and laws, satisfaction of participants, and resolution of any problems that arise.",
"monitor events, trends, and other circumstances, research specific subject areas, attend art exhibitions, and read art publications to develop ideas and keep current on art world activities.",
monitor financial market trends to ensure that client plans are responsive.,
monitor financial or operational performance of individual investments to ensure portfolios meet risk goals.,
"monitor fundamental economic, industrial, and corporate developments by analyzing information from financial publications and services, investment banking firms, government agencies, trade publications, company sources, or personal interviews.",
"monitor how the wind, heat, or cold affect the curing of the concrete throughout the entire process.",
"monitor industry websites or publications for information about patches, releases, viruses, or potential problem identification.",
"monitor market conditions, product innovations, and competitors' products, prices, and sales.",
monitor markets or positions.,
"monitor network performance to determine whether adjustments need to be made, and to determine where changes will need to be made in the future.",
monitor or trace the location of goods.,
monitor or track project milestones and deliverables.,
monitor patients' conditions and progress and reevaluate treatments as necessary.,
monitor patients' progress and adjust treatments accordingly.,
monitor security system performance logs to identify problems and notify security specialists when problems occur.,
"monitor student performance or assist students in academic environments, such as classrooms, laboratories, or computing centers.",
"monitor systems for intrusions or denial of service attacks, and report security breaches to appropriate personnel.",
monitor the flow of energy in response to changes in consumer demand.,
monitor the implementation and impact of guidelines for nondiscriminatory employment practices.,
monitor use of data files and regulate access to safeguard information in computer files.,
"monitor, evaluate, and record client progress according to measurable goals described in treatment and care plan.",
"monitor, evaluate, and record client progress with respect to treatment goals.",
"monitor, evaluate, or record training activities or program effectiveness.",
narrate presentations and productions.,
negotiate details of contracts and payments.,
"negotiate prices and terms with suppliers, vendors, or freight forwarders.",
negotiate prices or terms of sales or service agreements.,
"negotiate the sale, lease, or development of property and complete or review appropriate documents and forms.",
"negotiate, renegotiate, and administer contracts with suppliers, vendors, and other representatives.",
none,0.057877444
notify superior when restoration of artifacts requires outside experts.,
notify supervisor or computer maintenance technicians of equipment malfunctions.,0.051630434
"observe action of microorganisms upon living tissues of plants, higher animals, and other microorganisms, and on dead organic matter.",
"observe and document client reactions, progress, or other outcomes related to art therapy.",
"observe and evaluate children's performance, behavior, social development, and physical health.",
"observe and evaluate students' performance, behavior, social development, and physical health.",
observe and evaluate students' work to determine progress and make suggestions for improvement.,
"observe and evaluate students' work to determine progress, provide feedback, and make suggestions for improvement.",0.012939001
observe and evaluate the performance of other instructors.,
"observe and provide feedback on instructional techniques, presentation methods, or instructional aids.",
"observe children's behavior for irregularities, take temperature, transport children to doctor, or administer medications, as directed, to maintain children's health.",
observe clients' food selections and recommend alternate economical and nutritional food choices.,
"observe patients' attendance, progress, attitudes, and accomplishments and record and maintain information in client records.",
"observe teaching methods and examine learning materials to evaluate and standardize curricula and teaching techniques, and to determine areas where improvement is needed.",
"observe the structure and properties of matter, and the transformation and propagation of energy, using equipment such as masers, lasers, and telescopes to explore and identify the basic principles governing these phenomena.",
"observe, analyze, and record patients' participation, reactions, and progress during treatment sessions, modifying treatment programs as needed.",
obtain agreements from property owners to place properties for sale with real estate firms.,
"obtain and analyze information on suspects, crimes, or disturbances to solve cases, to identify criminal activity, or to gather information for court cases.",
"obtain and distribute updated information regarding domestic or international laws, guidelines, or standards.",
"obtain and evaluate information on factors such as reporting formats required, costs, and security needs to determine hardware configuration.",
"obtain and study information about clients' products, needs, problems, advertising history, and business practices to offer effective sales presentations and appropriate product assistance.",
"obtain patients' histories from electronic records, patient interviews, dictated reports, or by communicating with referring clinicians.",
"obtain, compile and record patient medical data, including health history, progress notes and results of physical examination.",
offer advice on the purchase or sale of particular securities.,
offer counsel and comfort to bereaved families or friends.,
operate and maintain audio-visual equipment.,
"operate communication systems, such as telephone, switchboard, intercom, two-way radio, or public address.",
operate computer-assisted engineering or design software or equipment to perform engineering tasks.,
"operate computers programmed with accounting software to record, store, and analyze information.",
"operate desktop publishing software and equipment to design, lay out, and produce camera-ready copy.",0.024154589
"operate office equipment, such as voice mail messaging systems, and use word processing, spreadsheet, or other software applications to prepare reports, invoices, financial statements, letters, case histories, or medical records.",
"operate office machines such as high speed business photocopiers, readers, scanners, addressing machines, stencil-cutting machines, microfilm readers or printers, folding and inserting machines, bursters, and binder machines.",
"operate office machines, such as photocopiers and scanners, facsimile machines, voice mail systems, and personal computers.",
operate or oversee operation of radiologic or magnetic imaging equipment to produce images of the body for diagnostic purposes.,
operate spreadsheet programs and other types of software to load and manipulate data and to produce reports.,
"operate testing equipment, such as heat stress meters, octave band analyzers, motion analysis equipment, inclinometers, light meters, velometers, sling psychrometers, or colormetric detection tubes.",
"operate typing, adding, calculating, or billing machines.",
"operate underwater video, sonar, recording, or related equipment to investigate underwater structures or marine life.",
"optimize digital assets, such as text, graphics, or multimedia assets, for search engine optimization (seo) or for display and usability on internet-connected devices.",
optimize shopping cart experience or web site conversion rates against key performance indicators (kpis).,
optimize web site exposure by analyzing search engine patterns to direct online placement of keywords or other content.,
organize and display students' work in a manner appropriate for their perceptual skills.,
organize and label materials and display students' work.,
"organize and lead activities designed to promote physical, mental, and social development, such as games, arts and crafts, music, and storytelling.",
"organize and lead activities designed to promote physical, mental, and social development, such as games, arts and crafts, music, storytelling, and field trips.",
organize and maintain periodicals and reference materials.,
organize and string together raw footage into a continuous whole according to scripts or the instructions of directors and producers.,
"organize and work with detailed office or warehouse records, maintaining files for each policyholder, including policies that are to be reinstated or cancelled.",
organize archival records and develop classification systems to facilitate access to archival materials.,
"organize collections of books, publications, documents, audio-visual aids, and other reference materials for convenient access.",
"organize data, and analyze and interpret its authenticity and relative significance.",
"organize information for publication and for other means of dissemination, such as use in cd-roms or internet sites.",0.033067275
"organize material and complete writing assignment according to set standards regarding order, clarity, conciseness, style, and terminology.",0.04230336
"organize or engage in interfaith, community, civic, educational, or recreational activities sponsored by or related to religious programs.",
"organize or work with detailed office or warehouse records, using computers to enter, access, search or retrieve data.",
organize production and design of curriculum materials.,
organize public exhibits and displays to promote public awareness of diverse and distinctive cultural traditions.,
"oversee or provide expertise on manufacturing, assembly, or fabrication processes.",
oversee the flow of cash or financial instruments.,
"participate in all levels of bioproduct development, including proposing new products, performing market analyses, designing and performing experiments, and collaborating with operations and quality control teams during product launches.",
"participate in campus and community events, such as giving presentations to the public.",
participate in campus and community events.,
"participate in cultural and literary activities, such as traveling abroad and attending performing arts events.",
participate in mediation and dispute resolution.,
"participate in new product planning or market research, including studying the potential need for new products.",
participate in preparation of product usage and precautionary label instructions.,
"participate in research or testing of computerized automotive applications, such as telemetrics, intelligent transportation systems, artificial intelligence, or automatic control.",
"participate in seminars, workshops, or other professional activities to keep abreast of developments in anesthesiology.",
"participate in student recruitment, registration, and placement activities.",
"participate in the administration of municipal elections, such as preparation or distribution of ballots, appointment or training of election officers, or tabulation or certification of results.",
participate in the development or implementation of clinical trial protocols.,
participate in the development or implementation of online marketing strategy.,
"participate in the hiring process by reviewing credentials, conducting interviews, or making hiring decisions or recommendations.",
"participate in the inspection, grading, sorting, storage, and post-harvest treatment of crops.",
participate in the preparation of reports or scientific publications.,
"participate in the recruitment of employees through job fairs, career days, or advertising plans.",
"participate in the research, development, or manufacturing of medicinal and pharmaceutical preparations.",
participate in the work of subordinates to facilitate productivity or to overcome difficult aspects of work.,
"perform a variety of duties as requested by client, such as obtaining household supplies or running errands.",
"perform accounting and bookkeeping activities, such as invoicing, maintaining financial records, budgeting, and handling cash.",
"perform accounting duties, such as bookkeeping, billing customers for services, or maintaining inventories.",
"perform accounting duties, such as recording daily cash flow, preparing bank deposits, or generating financial statements.",
perform administrative duties such as serving as department head.,
"perform administrative duties, such as compiling and maintaining records, completing forms, preparing reports, or composing correspondence.",
"perform administrative support tasks, such as proofreading, transcribing handwritten information, or operating calculators or computers to work with pay records, invoices, balance sheets, or other documents.",
"perform administrative tasks such as applying for grants, developing budgets, negotiating contracts, and designing and printing programs and other promotional materials.",
"perform before live audiences, or in television, radio, or movie productions.",
"perform bookkeeping duties, such as credits or collections, preparing and sending financial statements or bills, and keeping financial records.",
"perform clerical duties such as composing, typing and proofreading documents, scheduling appointments and meetings, handling mail and posting public notices.",
"perform clerical duties such as typing, proofreading, and sorting mail.",
"perform complex calculations as part of the analysis and evaluation of data, using computers.",
perform computations and apply methods of numerical analysis to data.,
"perform computer programming, data analysis, or software development for geographic information systems (gis) applications, including the maintenance of existing systems or research and development for future enhancements.",
"perform cost-benefit analyses to compare operating programs, review financial requests, or explore alternative financing methods.",
perform data backups and disaster recovery operations.,
"perform database verifications, using computers.",
"perform detailed calculations to compute and establish manufacturing, construction, or installation standards or specifications.",
"perform experiments and computer modeling to study the nature, structure, and physical and chemical properties of metals and their alloys, and their responses to applied forces.",
"perform financial calculations, such as amounts due, interest charges, balances, discounts, equity, and principal.",
"perform general office duties, such as filing, answering telephones, and handling routine correspondence.",
"perform geospatial data building, modeling, or analysis, using advanced spatial analysis, data manipulation, or cartography software.",0.0729927
"perform humorous and serious interpretations of emotions, actions, and situations, using body movements, facial expressions, and gestures.",
"perform initial debugging procedures by reviewing configuration files, logs, or code pieces to determine breakdown source.",0.105564386
"perform laboratory procedures following protocols including deoxyribonucleic acid (dna) sequencing, cloning and extraction, ribonucleic acid (rna) purification, or gel electrophoresis.",
"perform mathematical modeling of underground or surface water resources, such as floodplains, ocean coastlines, streams, rivers, or wetlands.",
perform monitoring activities to ensure that ships comply with international regulations and standards for life saving equipment and pollution preventatives.,
perform narration of productions or present announcements.,
perform needs assessments or consult with clients to determine the types of research and information required.,
"perform ongoing hardware and software maintenance operations, including installing or upgrading hardware or software.",
"perform or direct revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements.",0.11464968
perform or direct web site updates.,
"perform or evaluate research, such as detailed company or industry analyses, to inform financial forecasting, decision making, or valuation.",0.11347517
"perform or interpret the outcomes of diagnostic imaging procedures including magnetic resonance imaging (mri), computer tomography (ct), positron emission tomography (pet), nuclear cardiology treadmill studies, mammography, or ultrasound.",
perform other adjunctive therapies or treatment techniques in addition to massage.,
"perform quality control audits to ensure accuracy, completeness, or proper usage of clinical systems and data.",
perform risk analyses so that appropriate countermeasures can be developed.,
perform risk assessments and execute tests of data processing system to ensure functioning of data processing activities and security measures.,0.043010753
"perform routine system administrative functions such as troubleshooting, back-ups, and upgrades.",0.024921024
"perform searches for qualified job candidates, using sources such as computer databases, networking, internet recruiting resources, media advertisements, job fairs, recruiting firms, or employee referrals.",
perform securities valuation or pricing.,
perform security analyses of developed or packaged software components.,
perform spatial analysis and modeling using geographic information system techniques.,
"perform statistical analyses, such as social network pattern analysis, network modeling, discrete event simulation, agent-based modeling, statistical natural language processing, computational sociology, mathematical optimization, or systems dynamics.",
perform statistical analysis of environmental data.,
"perform support duties such as preparing materials, keeping records, maintaining supplies, and scheduling activities.",
"perform system analysis, data analysis or programming, using a variety of computer languages and procedures.",0.040145986
perform systems analysis and programming tasks to maintain and control the use of computer systems software as a systems programmer.,
perform systems analysis or programming of radio frequency identification device (rfid) technology.,
photograph objects for documentation.,
"plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.",
"plan and conduct research to develop and test theories about societal issues such as crime, group relations, poverty, and aging.",
plan and conduct special research projects in area of interest or expertise.,
"plan and conduct teacher training programs and conferences dealing with new classroom procedures, instructional materials and equipment, and teaching aids.",
plan and coordinate advertising campaigns and sales promotions and prepare merchandise displays and advertising copy.,
plan and develop curricula and materials for training programs and conduct training.,
"plan and develop instructional methods and content for educational, vocational, or student activity programs.",0.03768844
plan and develop new products and production processes.,
"plan and develop programs, agendas, budgets, and services according to customer requirements.",
plan and direct physical conditioning programs that will enable athletes to achieve maximum performance.,
"plan and direct research to characterize and compare the economic, demographic, health care, social, political, linguistic, and religious institutions of distinct cultural groups, communities, and organizations.",
plan and establish transportation routes.,
plan and execute medical care programs to aid in the mental and physical growth and development of children and adolescents.,
plan and follow the most efficient routes for delivering goods.,
plan and formulate flight activities and test schedules and prepare flight evaluation reports.,
plan and install upgrades of database management system software to enhance database performance.,
"plan and lead professional development activities for teachers, administrators, and support staff.",
"plan and organize the acquisition, storage, and exhibition of collections and related materials, including the selection of exhibition themes and designs, and develop or install exhibit materials.",0.042666666
"plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",
plan and price menu items.,
"plan and promote career and employment-related programs and events, such as career planning presentations, work-experience programs, job fairs, and career workshops.",
"plan and promote sporting events and social, cultural, and recreational activities.",
"plan and schedule programming and event coverage, based on broadcast length, time availability, and other factors, such as community needs, ratings data, and viewer demographics.",
"plan and supervise class projects, field trips, visits by guest speakers, or other experiential activities, and guide students in learning from those activities.",
plan crop activities based on factors such as crop maturity or weather conditions.,
plan layout of electric power generating plants or distribution lines or stations.,
plan layouts of structural architectural projects.,
"plan menus or diets or guide individuals or families in food selection, preparation, or menu planning, based upon nutritional needs and established guidelines.",
plan mobile robot paths and teach path plans to robots.,
"plan or adjust routes based on changing conditions, using computer equipment, global positioning systems (gps) equipment, or other navigation devices to minimize fuel consumption and carbon emissions.",
"plan or conduct basic genomic and biological research related to areas such as regulation of gene expression, protein interactions, metabolic networks, and nucleic acid or protein complexes.",
"plan or conduct market or public opinion research to test products or determine potential for product success, communicating results to client or management.",
plan or coordinate activities concerned with investigating and resolving customers' reports of technical problems with aircraft or aerospace vehicles.,
"plan or design structures such as residences, office buildings, theatres, factories, or other structural properties in accordance with environmental, safety, or other regulations.",
"plan or develop research models, using knowledge of mathematical and statistical concepts.",0.105421685
plan or direct spa services and programs.,
plan or implement improvements to internal or external logistics systems or processes.,
plan or lead religious education programs.,
plan parties or other special events and services.,0.014641868
plan physical education programs to promote development of participants' physical attributes and social skills.,
"plan pipe system layout, installation, or repair, according to specifications.",
"plan project arrangements or outlines, and organize material accordingly.",
"plan routes, itineraries, and accommodation details, and compute fares and fees, using schedules, rate books, and computers.",
"plan soil management or conservation practices, such as crop rotation, reforestation, permanent vegetation, contour plowing, or terracing, to maintain soil or conserve water.",
"plan tour itineraries, applying knowledge of travel routes and destination sites.",
"plan, assemble, and stock product displays in retail stores, or make recommendations to retailers regarding product displays, promotional programs, and advertising.",
"plan, coordinate and implement security measures to safeguard information in computer files against accidental or unauthorized damage, modification or disclosure.",0.039812647
"plan, coordinate, and implement network security measures to protect data, software, and hardware.",0.056851313
"plan, describe, arrange, and sell itinerary tour packages and promotional travel incentives offered by various travel carriers.",
"plan, design, and improve components of traffic control systems to accommodate current or projected traffic and to increase usability and efficiency.",
"plan, develop, and provide training and staff development programs, using knowledge of the effectiveness of methods such as classroom training, demonstrations, on-the-job training, meetings, conferences, and workshops.",
"plan, develop, evaluate, improve, and communicate methods and techniques for selecting, promoting, compensating, evaluating, and training workers.",
"plan, develop, maintain, or operate a variety of health record indexes or storage and retrieval systems to collect, classify, store, or analyze information.",
"plan, direct, and coordinate risk and insurance programs of establishments to control risks and losses.",
"plan, direct, and participate in recruitment and enrollment activities.",
"plan, direct, or supervise the food preparation or cooking activities of multiple kitchens or restaurants in an establishment such as a restaurant chain, hospital, or hotel.",
"plan, evaluate, and revise curricula, course content, and course materials and methods of instruction.",0.041212123
"plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.",0.03699422
"plan, implement, or administer health programs or standards in hospitals, businesses, or communities for prevention or treatment of injury or illness.",
"plan, implement, or maintain procedures for mixing, packaging, or labeling pharmaceuticals, according to policy and legal requirements, to ensure quality, security, and proper disposal.",
"plan, organize, direct, control or coordinate the personnel, training, or labor relations activities of an organization.",
"plan, organize, or direct activities concerned with the construction or maintenance of structures, facilities, or systems.",
"plan, organize, or lead structured programs of counseling, work, study, recreation, or social activities for clients.",
"plan, prepare, and develop various teaching aids such as bibliographies, charts, and graphs.",
"plan, prepare, or carry out individually designed programs of physical treatment to maintain, improve, or restore physical functioning, alleviate pain, or prevent physical dysfunction in patients.",
"plan, provide, or evaluate educational programs for nursing staff, health care teams, or the community.",
"plan, purchase, prepare, or serve meals to patients or other family members, according to prescribed diets.",
"plan, schedule, and coordinate general maintenance, major repairs, and remodeling or construction projects for commercial or residential properties.",
"plan, schedule, or coordinate funerals, burials, or cremations, arranging details such as floral delivery or the time and place of services.",
"plan, shop for, or prepare nutritious meals or assist families in planning, shopping for, or preparing nutritious meals.",
"plan, supervise, and conduct psychological research and write papers describing research results.",
"portray and interpret roles, using speech, gestures, and body movements, to entertain, inform, or instruct radio, film, television, or live audiences.",0.020585049
pose for artists and photographers.,
position instructions and comments onto drawings.,
"position text and art elements from a variety of databases in a visually appealing way to design print or web pages, using knowledge of type styles and size and layout patterns.",
pray and promote spirituality.,
"prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",
prepare actors for auditions by providing scripts and information about roles and casting requirements.,
"prepare administrative, technical, or statistical reports on traffic-operation matters, such as accidents, safety measures, or pedestrian volume or practices.",
prepare all materials for transactions or execution of deals.,
"prepare and administer written, oral, and performance tests and issue grades in accordance with performance.",
"prepare and administer written, oral, and performance tests, and issue grades in accordance with performance.",
"prepare and deliver lectures to undergraduate or graduate students and the community on topics such as ethics, logic, and contemporary religious thought.",
"prepare and deliver lectures to undergraduate or graduate students on topics such as abnormal psychology, cognitive processes, and work motivation.",0.06
"prepare and deliver lectures to undergraduate or graduate students on topics such as anatomy, therapeutic recreation, and conditioning theory.",0.06235566
"prepare and deliver lectures to undergraduate or graduate students on topics such as ancient history, postwar civilizations, and the history of third-world countries.",
"prepare and deliver lectures to undergraduate or graduate students on topics such as children's literature, learning and development, and reading instruction.",
"prepare and deliver lectures to undergraduate or graduate students on topics such as classical political thought, international relations, and democracy and citizenship.",
"prepare and deliver lectures to undergraduate or graduate students on topics such as collection development, archival methods, and indexing and abstracting.",
"prepare and deliver lectures to undergraduate or graduate students on topics such as crop production, plant genetics, and soil chemistry.",
"prepare and deliver lectures to undergraduate or graduate students on topics such as family behavior, child and adolescent mental health, and social intervention evaluation.",
"prepare and deliver lectures to undergraduate or graduate students on topics such as hazardous waste management, industrial safety, and environmental toxicology.",
prepare and deliver lectures to undergraduate or graduate students on topics such as how to speak and write a foreign language and the cultural aspects of areas where a particular language is used.,0.010283688
"prepare and deliver lectures to undergraduate or graduate students on topics such as mechanics, hydraulics, and robotics.",
"prepare and deliver lectures to undergraduate or graduate students on topics such as organic chemistry, analytical chemistry, and chemical separation.",
"prepare and deliver lectures to undergraduate or graduate students on topics such as poetry, novel structure, and translation and adaptation.",
"prepare and deliver lectures to undergraduate or graduate students on topics such as programming, data structures, and software design.",
"prepare and deliver lectures to undergraduate or graduate students on topics such as public speaking, media criticism, and oral traditions.",
"prepare and deliver lectures to undergraduate or graduate students on topics such as quantum mechanics, particle physics, and optics.",0.074408114
"prepare and deliver lectures to undergraduate or graduate students on topics such as race and ethnic relations, gender studies, and cross-cultural perspectives.",
"prepare and deliver lectures to undergraduate or graduate students on topics such as race and ethnic relations, measurement and data collection, and workplace social relations.",
"prepare and deliver presentations to communicate economic and environmental study results, to present policy recommendations, or to raise awareness of environmental consequences.",
prepare and deliver sales presentations to new and existing customers to sell new advertising programs and to protect and increase existing advertising.,
prepare and deliver sermons or other talks.,
prepare and deliver technical presentations that explain products or services to customers and prospective customers.,
"prepare and distribute health education materials, such as reports, bulletins, and visual aids, to address smoking, vaccines, and other public health concerns.",
prepare and distribute invoices to bill clients or pay account expenses.,
"prepare and distribute leaflets, pamphlets, and visual aids for educational and informational purposes.",
"prepare and draft legal documents, such as wills, deeds, patent applications, mortgages, leases, and contracts.",
"prepare and facilitate tutoring workshops, collaborative projects, or academic support sessions for small groups of students.",
prepare and implement remedial programs for students requiring extra help.,
"prepare and interpret specifications, calculating weights, volumes, and stress factors.",
prepare and issue title commitments and title insurance policies based on information compiled from title searches.,
"prepare and issue work schedules, deadlines, and duty assignments for office or administrative staff.",
"prepare and maintain a directory of suppliers, contractors and subcontractors.",
prepare and maintain all required treatment records and reports.,
"prepare and maintain attendance, activity, planning, accounting, or personnel reports and records for officials and agencies, or direct preparation and maintenance activities.",
"prepare and maintain logs, reports, or other documentation of work performed.",
"prepare and maintain records and reports of inventories, price lists, shortages, shipments, expenditures, and goods used or issued.",
"prepare and maintain records and reports, such as budgets, personnel records, or training manuals.",
"prepare and maintain records of client progress and services performed, reporting changes in client condition to manager or supervisor.",
"prepare and maintain work records and reports of information such as employee time and wages, daily receipts, or inspection results.",
prepare and present illustrated lectures and interpretive talks about park features.,
"prepare and present summaries and analyses of survey data, including tables, graphs, and fact sheets that describe survey techniques and results.",
"prepare and process import and export documentation according to customs regulations, laws, or procedures.",
"prepare and process legal documents and papers, such as summonses, subpoenas, complaints, appeals, motions, and pretrial agreements.",
prepare and process medical insurance claim forms and records.,
"prepare and process papers for use in scanning, microfilming, and microfiche.",
prepare and process payroll information.,
prepare and process requisitions and purchase orders for supplies and equipment.,
"prepare and record changes to official documents and confirm changes with legal and compliance management staff, including enterprise-wide records management staff.",
prepare and review operational reports or project progress reports.,
"prepare and submit budget requests and recommendations, or grant proposals to solicit program funding.",
prepare and submit budget requests or grant proposals to solicit program funding.,
"prepare and submit compliance, operational, and safety forms or reports.",
prepare and submit reports after completion of freight shipments.,
"prepare and submit reports that may include the number of passengers or trips, hours worked, mileage, fuel consumption, or fares received.",
prepare and submit sales contracts for orders.,
"prepare applications and forms for applicants for such purposes as school enrollment, employment, and medical services.",
prepare appropriate formatting to data sets as requested.,
"prepare archival records, such as document descriptions, to allow easy access to information.",
prepare articles for publication or presentation at professional conferences.,
"prepare briefs, legal memoranda, or statements of issues involved in cases, including appropriate suggestions or recommendations.",
"prepare budget or cost estimates for equipment, construction, or installation projects or control expenditures.",
prepare budgets and approve budget expenditures.,
prepare budgets or financial reports for farm or ranch operations.,
"prepare budgets, bids, or contracts.",
"prepare capability data, training materials, or other documentation for transfer of processes to production.",
"prepare charts or graphs from data samples, providing summary information on the environmental relevance of the data.",
"prepare charts, graphs, or diagrams to illustrate workflow, routing, floor layouts, material handling, or machine utilization.",
"prepare charts, graphs, or other visual displays to communicate clients' performance information.",
"prepare chemical solutions for products or processes, following standardized formulas, or create experimental formulas.",
prepare collections of preserved specimens or microscopic slides for species identification and study of development or disease.,
prepare comprehensive interpretive reports of findings.,0.061417323
"prepare comprehensive written reports, presentations, maps, or charts based on research, collection, and analysis of intelligence data.",
"prepare conceptual drawings, graphics, or other visual representations of land areas to show predicted growth or development of land areas over time.",
"prepare conference or event materials, such as flyers or invitations.",
prepare contract documents for building contractors.,
"prepare contracts or negotiate revisions to contractual agreements with architects, consultants, clients, suppliers, or subcontractors.",
"prepare correspondence or assist physicians or medical scientists with preparation of reports, speeches, articles, or conference proceedings.",
prepare correspondence to inform concerned parties of licensing decisions or appeals processes.,
"prepare correspondence, reports of inspections or investigations or recommendations for action.",
prepare cost estimates for clients or employers.,
prepare cost estimates for clients.,
"prepare cost estimates, contracts, bidding documents, and technical reports for specific projects under an architect's supervision.",
"prepare course materials such as syllabi, homework assignments, and handouts.",
prepare credit cards or charge account plates.,
"prepare daily food items, and cook simple foods and beverages, such as sandwiches, salads, soups, pizza, or coffee, using proper safety precautions and sanitary measures.",
"prepare data analysis listings and activity, performance, or progress reports.",
"prepare data for processing by organizing information, checking for any inaccuracies, and adjusting and weighting the raw data.",0.042682927
"prepare data summaries, reports, or analyses that include results, charts, or graphs to document research findings and results.",
prepare design presentations and proposals for staff or customers.,
"prepare detailed job descriptions and classification systems and define job levels and families, in partnership with other managers.",
"prepare detailed network specifications, including diagrams, charts, equipment configurations, or recommended technologies.",0.07586207
prepare detailed reports on audit findings.,
prepare detailed storyboards showing sequence and timing of story development for television production.,
"prepare detailed verbal or written presentations for scientists, engineers, project managers, or upper management.",
"prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language.",0.098445594
prepare diagnostic and treatment records.,
prepare diagnostic or treatment reports for other medical practitioners or therapists.,
"prepare documentation containing information such as confidential descriptions or specifications of proprietary hardware or software, product development or introduction schedules, product costs, or information about product performance weaknesses.",
prepare documentation for case reports or court proceedings.,
"prepare documentation or presentations, including charts, photos, or graphs.",
prepare documents needed to implement plans selected by clients.,
prepare documents recording the outcomes of court proceedings.,
"prepare documents to be used in legal proceedings, testifying in such proceedings when necessary.",
"prepare documents, such as invoices or warranties.",
"prepare documents, such as work orders, bills of lading, or shipping orders, to route materials.",
"prepare dough, following recipe.",
"prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures.",
"prepare drawings, estimates, and bids that meet specific customer needs.",
"prepare environmental impact statements, reports, or presentations for regulatory or other agencies.",
"prepare evaluations of software or hardware, and recommend improvements or upgrades.",
"prepare financial or regulatory reports required by laws, regulations, or boards of directors.",
prepare financial reports to monitor client or corporate finances.,
"prepare financial reports, such as reviews of portfolio positions.",
prepare forms and manuals for accounting and bookkeeping personnel and direct their work activities.,
prepare forms or agreements to complete sales.,
prepare functional or technical documentation for data warehouses.,0.103225805
"prepare government or organizational reports on birth, death, and disease statistics, workforce evaluations, or the medical status of individuals.",
"prepare government or organizational reports which include birth, death, and disease statistics, workforce evaluations, or medical status of individuals.",
"prepare grant proposals, budgets, and program policies and goals or assist in their preparation.",
prepare graphic representations or drawings of proposed plans or designs.,
"prepare graphs, charts, diagrams, or other aids to illustrate observations or conclusions.",
"prepare information regarding design, structure specifications, materials, color, equipment, estimated costs, or construction time.",
